title,description,cuisine,course,prep,cook,serves,taste,difficulty,diet_tags,ingredients,method,adaptations,source
"Miso Chilli Roasted Tofu, Broccoli & Cashews (No Onion/Garlic)","Easy sheet-pan dinner: tofu, broccoli and cashews roasted in an umami-rich sesame, ginger and miso marinade. Adapted egg-free vegan style without onion or garlic; hing stands in for allium depth. Serve over noodles, steamed vegetables or a crunchy cabbage salad.",Fusion,Main Course,15 minutes,25-30 minutes,4,Umami & Spicy,Easy,vegan; vegetarian; egg-free,"400 g firm tofu, pressed and cubed | 1 large head broccoli, cut into florets | 75 g raw cashews | 2 tablespoons white or chickpea miso paste | 2 tablespoons tamari or soy sauce | 1 tablespoon toasted sesame oil | 1 tablespoon neutral oil | 1 tablespoon maple syrup | 1 tablespoon rice vinegar | 1 tablespoon grated fresh ginger | 1-2 teaspoons chilli flakes or chilli paste, to taste | 1 pinch hing (asafoetida) | 1 tablespoon sesame seeds (optional) | Fresh mint or coriander leaves, to finish (optional)","1. Heat the oven to 200°C / 400°F. Line a large baking tray. | 2. Warm the neutral oil briefly, bloom the hing in it for a few seconds, then whisk with miso, tamari, sesame oil, maple syrup, rice vinegar, ginger and chilli until smooth. | 3. Toss the tofu cubes in half the marinade and spread on the tray. | 4. Toss broccoli and cashews with the remaining marinade and arrange around the tofu in a single layer. | 5. Roast 25-30 minutes, turning once, until the tofu is golden at the edges and the broccoli is tender with charred tips. | 6. Scatter sesame seeds and herbs if using, and serve hot.",Reconstructed from Botanical Kitchen public recipe description (member-only full amounts were not publicly readable). Kept vegan and egg-free; no onion or garlic; hing (asafoetida) added for allium-free savoury depth.,https://www.botanicalkitchen.com/recipes/miso-chill-roasted-tofu-broccoli-cashews/
Coconut Moong Soup,"Our 'Coconut Moong Soup' is a delicious and nutritious option that brings together the best of both worlds. This high protein recipe, made with protein-rich moong dal and creamy coconut, results in a...",Fusion  Course:,Soups,,15-20 minutes,4,Mild,,vegetarian; egg-free; lacto-vegetarian,"3 cups thin coconut milk ¾ cup soaked whole green gram (sabut moong) | 1 tablespoon ghee | 1 pinch hing (asafoetida) | 1 medium carrot, peeled and cut into small cubes ¼ cup sweetcorn kernels | 1 fresh red chilli, diagonally sliced","1. Heat ghee in a nonstick deep pan, add ginger and and sauté till translucent. | 2. Warm a pinch of hing in a little hot oil before adding the main ingredients. | 3. Add bay leaf and cinnamon and sauté for 1-2 minutes. | 4. Add the carrot, sweetcorn kernels and salt, mix and cook for 1 minute. | 5. Add the soaked green gram and mix well. | 6. Stir in the thin coconut milk and 1 cup water and mix well. | 7. Add crushed black peppercorns and red chilli and mix well. | 8. Bring the mixture to a boil, reduce the heat to low and cook for 10-12 minutes. | 9. Add and mix well. | 10. Transfer the soup in a serving bowl, garnish with coriander sprigs and serve hot.",Removed onion/garlic (and related alliums). Added hing (asafoetida). Egg-free.,vegetarian-recipes.txt
Corn Cheese Balls,"They are delightful snacks made from a mixture of sweet corn kernels, cheese, herbs, and spices, shaped into small balls, coated with breadcrumbs, and then deep-fried until golden and crispy.",Fusion  Course:,Snacks and Starters,21-25 minutes,11-15 minutes,4,Spicy,Easy,vegetarian; egg-free; lacto-vegetarian,"1 cup corn kernels, boiled | 1 cup grated processed cheese | 1 teaspoon carom seeds (ajwain) | 1 tablespoon finely chopped ginger | 2 green chillies, finely chopped ½ teaspoon turmeric powder ¼ teaspoon baking soda | 1 medium ½ cup gram flour (besan) | 1 tablespoon finely chopped fresh coriander leaves Oil for deep-frying and greasing Yellow capsicum strips for garnishing Green capsicum strips for garnishing Fresh coriander sprigs for garnishing Green chutney for serving | 1 pinch hing (asafoetida)","1. Crush corn kernels slightly and put into a bowl. | 2. Add cheese, carom seeds, ginger, green chillies, turmeric powder and baking soda and mix well. | 3. Add gram flour and red chilli paste and mix well. | 4. Add salt and coriander leaves and mix well. | 5. Heat sufficient oil in a kadai, then add a pinch of hing. | 6. Grease your palms with some Fortune Rice Bran Oil, divide the mixture into equal portions and shape them into small balls. | 7. Deep-fry the balls in hot oil till half done. | 8. Remove from oil and fry once again on high heat till golden brown. | 9. Drain on absorbent paper. | 10. Garnish with yellow and green capsicum strips, coriander sprigs and serve hot with green chutney.",Removed onion/garlic (and related alliums). Added hing (asafoetida). Egg-free.,vegetarian-recipes.txt
Corn Halwa,This combination of corn kernels and khoya will result in a delicious halwa that will satiate the most discerning palate,Indian  Course:,Mithais,6-10 minutes,21-25 minutes,4,Sweet,Easy,vegetarian; egg-free; lacto-vegetarian,"1 cup Corn kernels, boiled | 4 tablespoons Ghee 1/ | 4 cup + to garnish Mixed nuts, chopped | 2 tablespoons Semolina (suji/rawa) | 1 1/ | 2 cups Khoyta (mawa) a pinch Saffron strands | 1 teaspoon Green cardamom powder 1/ | 2 cup Jaggery, grated | 1 cup Milk","1. Put corn kernels into a blender jar and blend into a fine paste. | 2. Heat ghee in a non-stick pan, add nuts and sauté till lightly browned and crisp. | 3. Add semolina, mix and sauté till fragrant. | 4. Add corn paste and cook for 4-5 minutes, stirring continuously. | 5. Add khoya and mix till it melts. | 6. Add saffron strands and green cardamom powder and mix well. | 7. Add jaggery and mix till it melts. | 8. Add milk, mix and cook till the mixture thickens. | 9. Transfer into a serving bowl, garnish with nuts and serve hot.",Egg-free.,vegetarian-recipes.txt
Corn Sprouts Bhel,There is no kurmura in this bhel. It is made with corn kernels and mixed sprouts making it super healthy,Indian  Course:,Snacks and Starters,21-25 minutes,6-10 minutes,4,Tangy,Easy,vegan; vegetarian; egg-free,"1 pinch hing (asafoetida) | 1 cup sweet corn kernels, boiled ½ cup mixed sprouts | 1 large potato, boiled and peeled | 1 small beetroot, boiled, peeled and cut into small cubes | 2 tablespoons date and tamarind chutney | 2 tablespoons green chutney ½ small raw mango, chopped | 2 tablespoons lemon juice | 2 tablespoons chopped fresh coriander leaves | 3 tablespoons sev 6- | 8 crisp papdi","1. Boil water in a deep non-stick pan, add mixed sprouts and cook until the sprouts are cooked. | 2. Warm a pinch of hing in a little hot oil before adding the main ingredients. | 3. Cut potato in to small cubes. | 4. Drain sprouts and set aside to cool. | 5. Mix corn, potato and sprouts in a bowl. | 6. Add beetroot, date and tamarind chutney and green chutney and mix well. | 7. Add raw mango, lemon juice, coriander leaves and sev and mix well. | 8. Break the papdi and add to the bhel and mix. | 9. Pack the bhel in tiffin box.",Removed onion/garlic (and related alliums). Added hing (asafoetida). Egg-free.,vegetarian-recipes.txt
Couscous and Mixed Vegetable Salad with Orange Vinaigrette,"Combine couscous, colorful veggies, and a sweet orange vinaigrette into a vibrant salad, topped with fresh microgreens and edible flowers for a refreshing and elegant dish.",Fusion  Course:,Salads,21-25 minutes,21-25 minutes,4,Sweet & Sour,Easy,vegan; vegetarian; egg-free,"1 cup couscous | 1 orange segments ½ medium red capsicum, finely chopped ½ medium green capsicum, finely chopped ½ medium tomato, finely chopped | 2 cups orange juice 2- | 3 sunflower microgreens 2- | 2 tablespoons olive oil | 1 tablespoon sugar | 1 teaspoon lemon juice | 1 tablespoon chopped coriander Edible flowers for garnishing","1. Put water in a bowl, add microgreens and iceberg lettuce leaves. | 2. Keep in the refrigerator for 15-20 minutes. | 3. Boil some water in a non-stick pan. | 4. Put couscous in a large bowl, add salt pepper powder and 1 tablespoon olive oil and mix well. | 5. Add boiling water and mix well. | 6. Cover with cling film. | 7. Set aside for 15 minutes. | 8. Heat orange juice in a 2nd non-stick pan, add sugar and cook till thickens. | 9. Transfer into a bowl. | 10. Drain water from the salad leaves and microgreens. | 11. Put couscous in another large bowl, add green and red capsicum, tomato, coriander, orange segments reserving some for garnishing and mix well. | 12. Add orange vinaigrette and mix well. | 13. Place a ring mould on a serving plate, put the prepared couscous salad at the bottom of the ring, put microgreens and iceberg lettuce leaves over it. | 14. Gently remove the ring mould. | 15. Arrange reserved orange segments and edible flowers on the sides and serve immediately.",Egg-free.,vegetarian-recipes.txt
Cranberry Shikanji,"Lemon, fresh mint leaves and healthy dried cranberries muddled and topped up with cranberry juice. This is",Fusion  Course:,Beverages,,0 minutes,4,Tangy,,vegan; vegetarian; egg-free,"4 tsps dried cranberries | 2 cups Cranberry Juice | 2 lemons 25- | 0 fresh mint leaves | 2 lemons, halved | 4 pinches of black salt | 1 tsp roasted cumin powder 16- | 0 ice cubes Fresh mint sprigs for garnish","1. Cut lemons into wedges and remove the seeds. | 2. Make one serving glass of cranberry shikanji at a time. | 3. Add a few lemon wedges into a serving glass, tear 8-10 mint leaves and add. | 4. Add 1 tsp dried cranberries and squeeze the juice of ½ lemon into it. | 5. Add a pinch of black salt and ¼ teaspoon roasted cumin powder and lightly muddle. | 6. Add 3-4 ice cubes and ½ cup Cranberry Juice. | 7. Garnish with a lemon slice and a fresh mint sprig. | 8. Serve immediately.",Egg-free.,vegetarian-recipes.txt
Creole Mushroom Rice,Rice cooked with mushrooms and some other ingredients in the Creole style.,"American, ,",Rice,31-40 minutes,6-10 minutes,4,Mild,Easy,vegetarian; egg-free; lacto-vegetarian,"1 cup Button mushrooms | 2 cups Rice, cooked | 1 tablespoon Oil | 1 pinch hing (asafoetida) | 1 teaspoon Roasted cumin powder | 1 teaspoon Paprika powder ½ teaspoon Sugar | 2 medium Tomatoes, blanched and chopped | 1 teaspoon Lemon juice | 4 tablespoons Saffron (kesar) milk | 1 tablespoon Butter | 3 tablespoons Processed cheese, grated | 2 tablespoons Fresh parsley, chopped","1. Preheat oven to 180º C. | 2. To make Creole sauce, heat oil in a non-stick pan, then add a pinch of hing. | 3. Add and sauté till it turns translucent Add capsicum, mix and sauté. | 4. Add mushrooms, mix and sauté on lower heat for a minute. | 5. Add salt, cumin powder, paprika powder and sugar and mix well. | 6. Add tomatoes and mix well. | 7. Add ½ cup water, mix and cook on low heat for 2 minutes. | 8. Add 1 tablespoon chopped olives and lemon juice. | 9. Mix well and remove from heat. | 10. To make buttered rice, heat butter in another non-stick pan. | 11. Add rice and toss gently. | 12. Add saffron milk and salt. | 13. Mix well and let it get heated through and switch off the heat. | 14. Spread the buttered rice in a glass baking dish. | 15. Top with a layer of Creole sauce, cheese, remaining olives and chopped parsley. | 16. Put the dish in the preheated oven and bake for 5-8 minutes. | 17. Serve hot.",Removed onion/garlic (and related alliums). Added hing (asafoetida). Egg-free.,vegetarian-recipes.txt
Crispy Crunchy Baby Corn,"Bite-sized bursts of flavor, perfectly fried to golden perfection, offering a delightful crunch with every munch.",Fusion  Course:,Snacks and Starters,6-10 minutes,6-10 minutes,4,Spicy,Easy,vegan; vegetarian; egg-free,"10- | 2 baby corns, blanched 1¼ teaspoon red chilli powder + to sprinkle ¼ teaspoon turmeric powder | 1 teaspoon garam masala powder ½ teaspoon crushed black peppercorns | 1 tablespoon oil + for deep frying | 1 pinch hing (asafoetida) | 1 cup refined flour (maida) ½ cup cornflour A pinch of baking soda | 1 cup cornflakes Chaat masala to sprinkle Green chutney to serve","1. Take baby corns in a bowl, add 1 teaspoon red chilli powder, turmeric powder, garam masala powder, crushed black peppercorns, and salt and mix well. | 2. Heat sufficient oil in a kadai Take refined flour, cornflour, baking soda, remaining red chilli powder and a pinch of salt in another bowl, then add a pinch of hing. | 3. Add ½ cup water and 1 tablespoon oil and mix well to make a thick batter. | 4. Crush the cornflakes and add to the batter and mix well. | 5. Dip baby corns in this batter and slide into hot oil and deep fry on medium heat till golden brown. | 6. Drain on absorbent paper. | 7. Sprinkle red chilli powder and chaat masala over them. | 8. Transfer in a serving basket and serve hot with green chutney.",Removed onion/garlic (and related alliums). Added hing (asafoetida). Egg-free.,vegetarian-recipes.txt
Crispy Spinach and Coriander Bites,Kothimbir wadi is a well-loved Maharashtrian snack and here we have made it healthier with the addition of spinach,Maharashtrian  Course:,Snacks and Starters,21-25 minutes,21-25 minutes,4,Mild,Easy,vegetarian; egg-free; lacto-vegetarian,1 cup chopped spinach leaves | 2 cups chopped fresh coriander leaves | 2 tablespoons yogurt | 2 teaspoons oil + to grease ½ teaspoon mustard seeds ¼ teaspoon asafoetida | 1 teaspoon white sesame seeds (safed til) | 1 tablespoon scraped fresh coconut + for garnish,"1. Heat 4 cups water in a steamer. | 2. Mix coriander leaves, spinach and besan in a bowl. | 3. Add turmeric powder, ginger green chilli paste, salt, dried mango powder and yogurt and mix well. | 4. Add little water and make a dropping consistency mixture. | 5. Grease a thali with some oil. | 6. Transfer the mixture in it. | 7. Tap the thali to level the mixture. | 8. Place the thali in the steamer and steam for 12-15 minutes on medium heat. | 9. Release the steamed mixture from sides of the thali with a palette knife and invert the thali on the worktop. | 10. Trim the edges of the wadi. | 11. Cut into squares. | 12. Heat 2 teaspoons oil in a non-stick pan, add mustard seeds and let them splutter. | 13. Add asafoetida, white sesame seeds and wadis and cook on low heat for 2-3 minutes. | 14. Flip and cook till golden brown on both the sides. | 15. Add coconut and cook for few seconds. | 16. Switch off heat. | 17. Transfer the vadis onto a serving platter, garnish with scraped coconut and serve hot.",Egg-free.,vegetarian-recipes.txt
Dal Amboli,"Discover the delightful flavors of Dal Amboli, a classic South Indian comfort food. This dish combines fluffy, fermented rice pancakes with a flavorful dal made from lentils, tomatoes, and aromatic...",Maharashtrian  Course:,Snacks and Starters,,10-15 minutes,4,Tangy,,vegetarian; egg-free; lacto-vegetarian,1 pinch hing (asafoetida) | 1 cup short grain rice ½ cup pressed rice (poha) ¼ cup split pigeon peas (toovar dal) ¼ cup split skinless green gram (dhuli moong dal) ¼ cup split green gram with skin (chilkewali moong dal) ¼ cup split Bengal gram (chana dal) ¼ cup split red lentils (masoor dal) | 1 tablespoon flax seeds | 2 teaspoons fenugreek seeds,"1. Take rice in a bowl. | 2. Warm a pinch of hing in a little hot oil before adding the main ingredients. | 3. Add pressed rice, pigeon peas, green gram, green gram with skin, Bengal gram, red lentils, flax seeds, and fenugreek seeds.Wash for 2-3 times. | 4. Add 3 cups buttermilk and soak for 6-8 hours. | 5. Transfer the mixture in a grinder and grind coarsely. | 6. Transfer in a bowl, add remaining buttermilk and mix well. | 7. Set aside to ferment for 8-10 hours. | 8. Add salt and mix well. | 9. Heat a cast iron tawa. | 10. Dip half in oil and grease tawa. | 11. Pour a ladleful of batter, drizzle oil, cover and cook for 3-4 minutes on medium heat. | 12. Flip and cook for 2-3 minutes more. | 13. Serve hot with coconut chutney.",Removed onion/garlic (and related alliums). Added hing (asafoetida). Egg-free.,vegetarian-recipes.txt
Dal Baati Churma,This trio of sweet and savoury dishes on a platter is among the finest and most popular offerings from Rajasthan. Served with generous amounts of ghee is metaphorically a way of showing love to the...,Rajasthani  Course:,Main Course- Vegetarin,,35-40 minutes,4,Mild,,vegetarian; egg-free; lacto-vegetarian,"Baatis | 2 cups whole wheat flour (atta) | 4 tablespoons semolina ½ cup pure ghee + to deep fry + to serve | 1 pinch hing (asafoetida) | 1 cup milk ¾ cup powdered sugar ¼ teaspoon green cardamom powder | 0 cashewnuts, chopped | 0 almonds, chopped | 0 raisins Dal | 2 cups cooked split red lentils (masoor dal) 2- | 3 tablespoons oil | 2 teaspoons cumin seeds | 3 green chillies, chopped 6- | 1 tablespoon red chilli powder | 2 teaspoons garam masala powder","1. Preheat oven to 180° C. | 2. To make baatis, take whole wheat flour in a parat. | 3. Add semolina, salt, ½ cup ghee and mix well. | 4. Add 1¼ cups water knead into stiff dough. | 5. Divide the dough into small equal portions and roll into balls and arrange them on a baking tray. | 6. Bake them in the preheated oven for 15-20 minutes. | 7. Dip the baked baatis in melted ghee and let them soak for 5-10 minutes. | 8. To make churma, mix whole wheat flour and semolina in a parat. | 9. Add ½ cup melted ghee and mix well. | 10. Add milk and knead into a stiff dough. | 11. Divide the dough into equal portions and shape into cylinders. | 12. Heat sufficient ghee in a kadai and deep-fry the balls on medium heat, till they are golden brown and crisp. | 13. Drain on absorbent paper and cool. | 14. Transfer in a grinder jar and grind coarsely Add powdered sugar, cardamom powder, cashew nuts, almonds and raisins and mix. | 15. The churma is ready. | 16. To make dal, heat oil in deep non-stick pan and add cumin seeds, then add a pinch of hing. | 17. Once they start to change the colour, add green chillies, and sauté for 30 seconds, Add red chilli powder, garam masala powder, tomato and sauté till tomatoes turn soft and pulpy. | 18. Add boiled dal, salt, 2 cups water and mix well. | 19. Cook on low heat for 5 minutes. | 20. Drizzle ghee on dal, baati, churma and serve hot with and green chillies.",Removed onion/garlic (and related alliums). Added hing (asafoetida). Egg-free.,vegetarian-recipes.txt
Dal Dhokli,"Dal Dhokli is an authentic Guajarati dish which is luscious in flavour and tastes best when served hot. A family favourite, it appeases all age groups",Gujarati  Course:,Main,26-30 minutes,31-40 minutes,4,Tangy,Moderate,vegetarian; egg-free; lacto-vegetarian,"1 1/ | 2 cups split pigeon peas (tuvar dal) 1/ | 1 tablespoon raw peanuts | 2 tablespoons ghee | 1 teaspoon mustard seeds 1/ | 4 teaspoon fenugreek seeds (methi dana) 1/ | 4 teaspoon asafoetida | 2 dried red chillies, broken 16- | 8 curry leaves | 1 teaspoon ginger-green chilli paste | 1 teaspoon grated jaggery | 1 kokam petal, soaked in water for | 5 minutes | 1 tsp lemon juice+ for drizzling | 4 cup whole wheat flour (atta) 1/ | 4 teaspoon turmeric powder 1/ | 2 teaspoon red chilli powder A pinch of asafoetida 1/ | 2 teaspoon ginger-green chilli paste to apply + teaspoons Oil","1. Pressure cook pigeon peas in some water with ¼ teaspoon turmeric powder, salt and peanuts till 3-4 whistles are given out. | 2. Open the lid when the pressure is completely released. | 3. To prepare dhokli, combine wheat flour and gram flour in a bowl. | 4. Add salt, ¼ teaspoon turmeric powder, chilli powder, asafoetida, and sufficient water and knead into a semi-soft dough. | 5. Add 2 teaspoons oil and knead again. | 6. Heat ghee in a deep non-stick pan, add mustard seeds and let them splutter. | 7. Add fenugreek seeds, asafoetida, broken dried red chillies, curry leaves and cooked pigeon peas and mix well. | 8. Add 1½ cups water and cook till the mixture comes to a boil. | 9. Cover and cook for 2-3 minutes. | 10. Divide the dough into equal portions, apply some oil on each portion and roll out into large thin discs. | 11. Transfer onto the worktop and cut each disc into diamonds. | 12. These are dhoklis. | 13. Add ginger-green chilli paste, and salt to pigeon peas mixture and mix well. | 14. Add dhokli pieces to the pan and mix. | 15. Add jaggery and kokum petal, mix, cover and cook for 10-15 minutes or till dhokli pieces are done. | 16. Switch off heat, add lemon juice and mix well. | 17. Transfer into a serving bowl, top with some and coriander leaves, drizzle some lemon juice and serve hot.",Removed onion/garlic (and related alliums). Egg-free.,vegetarian-recipes.txt
Dal Soya Parantha,Paranthas stuffed with a highly flavoured and nutritious mixture of chana dal and soya chunks will leave you asking for more and more and…,Indian  Course:,Breads,2-2.30 hour,26-30 minutes,4,Spicy,Easy,vegetarian; egg-free; lacto-vegetarian,"4 cup Split Bengal gram (chana dal), soaked and boiled | 1 cup Soya chunks, soaked in hot water | 0 grams Readymade whole wheat flour dough | 1 tbsp + for basting Ghee | 1 teaspoon Fennel seeds (saunf) | 1 teaspoon Cumin seeds (jeera) | 1 teaspoon Carom seeds (ajwain) | 1 tablespoon Ginger, finely chopped 2- | 3 Green chillies, finely chopped | 1 teaspoon Red chilli powder | 1 tablespoon Coriander powder | 1 teaspoon Cumin powder | 1 teaspoon Garam masala powder 1/ | 2 teaspoon Black salt | 1 Dried mango powder (amchur) | 1 teaspoon Black peppercorns, crushed 10-","1. Heat ghee in a non-stick pan, add fennel seeds, cumin seeds and carom seeds, mix and sauté for 1-2 minutes. | 2. Add ginger and green chillies, mix and sauté for 2-3 minutes. | 3. Add Bengal gram and soya chunks and mix. | 4. Add red chilli powder, coriander powder, cumin powder, garam masala powder, black salt, dried mango powder and crushed peppercorns, mix and cook for 3-4 minutes. | 5. Transfer the mixture into a blender jar and blend to a coarse paste. | 6. Transfer the paste into a bowl. | 7. Chop coriander leaves, add to the bowl and mix well. | 8. Add salt and mix again. | 9. Heat a non-stick tawa. | 10. Divide the dough into equal portions and roll each portion into a ball. | 11. Roll out each portion to a disc, place a portion of dal-soya mixture in the centre, bring edges together, press to seal and roll into a ball. | 12. Dust each stuffed ball with dry flour and roll out into a parantha. | 13. Place the paranthas on the hot tawa, one at a time, and cook, basting with ghee, till evenly cooked and golden on both sides. | 14. Transfer onto individual serving plates and serve hot with your choice of pickle.",Egg-free.,vegetarian-recipes.txt
Date and Coconut Ice Cream,Treat yourself to a delightful experience with Dates and Coconut Ice Cream.,Fusion  Course:,Desserts,,0 minutes,4,Sweet,,vegetarian; egg-free; lacto-vegetarian,10- | 2 dates ¼ cup cocoa powder | 2 teaspoons vanilla essence ½ cup tender coconut water | 0 grams tender coconut water,"1. Transfer dates in a bowl. | 2. Add sufficient water and soak for 2-3 hours. | 3. Deseed and transfer in a grinder jar. | 4. Add cocoa powder, vanilla essence, tender coconut water, tender coconut flesh and grind to a fine mixture. | 5. Transfer in an air tight container, close the lid and freeze for 6-8 hours. | 6. Scoop and serve chilled.",Egg-free.,vegetarian-recipes.txt
Deconstructed Vada Pav,"A modern twist on the iconic Indian street food, featuring separated elements like spiced potato patties, bread, and spicy chutney for a unique culinary experience. This recipe is from Food Food TV...",Indian  Course:,Snacks and Starters,31-40 minutes,6-10 minutes,4,Spicy,Easy,vegetarian; egg-free; lacto-vegetarian,"8 slices of French baguette, toasted with butter till golden | 1 teaspoon oil ½ teaspoon mustard seeds | 1 pinch hing (asafoetida) | 1 cup salted boondi Chives, halved for garnish","1. Heat oil in a deep non-stick pan, add mustard seeds and curry leaves, then add a pinch of hing. | 2. Once the mustard seeds splutter, add -green chilli-coriander leaves paste. | 3. Saute on medium heat till oil separates. | 4. Add turmeric powder and mix well. | 5. Add sweet potatoes and mix well. | 6. Add salt and sauté for a minute. | 7. Switch off heat. | 8. Place 2 baguette slices on a worktop. | 9. Spread some green chutney over them. | 10. Sprinkle vada pav chutney on top. | 11. Spread some cooked mixture in a dome shape on top. | 12. Take boondis in a bowl and roll the prepared bread slices, upside down, in it till well coated with boondi. | 13. Make more deconstructed vada pavs in the same way. | 14. Transfer deconstructed vada pavs on a serving platter. | 15. Serve immediately, garnished with chives.",Removed onion/garlic (and related alliums). Added hing (asafoetida). Egg-free.,vegetarian-recipes.txt
Double Decker Parantha,Just one such parantha will satiate you completely stuffed as it is with masaledar rajma and paneer,Indian  Course:,Breads,8-10 hour,21-25 minutes,4,Tangy,Moderate,vegetarian; egg-free; lacto-vegetarian,"1 cup Red kidney beans (rajma), soaked overnight, boiled and mashed | 1 teaspoon Garam masala powder 1/ | 2 teaspoon Red chilli powder 1/ | 4 teaspoon Dried mango powder (amchur_) 1/ | 4 teaspoon Chaat masala 1/ | 2 teaspoon Turmeric powder | 1 cup Cottage cheese (paneer), grated 1/ | 2 cup Mozzarella cheese, grated 1/ | 2 cup Cheddar cheese, grated | 1 tablespoon Fresh mint leaves, finely chopped to sprinkle Chaat masala to shallow fry Ghee grams Yogurt | 1 pinch hing (asafoetida)","1. Take kidney beans in a bowl, add garam masala powder, red chilli powder, dried mango powder, chaat masala and turmeric powder and mix well. | 2. Warm a pinch of hing in a little hot oil before adding the main ingredients. | 3. Add salt and mix well. | 4. Take cottage cheese in another bowl, add mozzarella cheese, cheddar cheese, mint leaves and chaat masala and mix well. | 5. Divide the dough into 4 small equal portions, 4 slightly bigger equal portions and 4 bigger equal portions. | 6. To prepare the middle layer rotis, sprinkle flour on a worktop, take each small portion of dough and roll it thinly. | 7. Heat a non-stick tawa, put this roti on it and cook, turning sides, till light brown specs appear on both sides. | 8. To prepare the first layer rotis, sprinkle flour on the worktop, take each bigger portion and roll thinly, ensuring that it is bigger than the middle layer roti. | 9. To prepare the third layer rotis, sprinkle flour and take each slightly big portion of dough and roll thinly into a size that is bigger than the middle layer roti but smaller than the first layer roti. | 10. Take the first layer roti, spread spoonful of rajma mixture all over it. | 11. Place the middle layer cooked roti over it. | 12. Spread the cheese mixture all over it. | 13. Cover with third layer roti. | 14. Press completely. | 15. Heat the non-stick tawa again, place a parantha on it and cook, on medium heat, turning sides, till golden brown specs appear on both sides. | 16. Drizzle ghee and continue to cook for 30 seconds on each side. | 17. Make more paranthe similarly. | 18. Keep each parantha on separate serving plates and serve hot with yogurt.",Removed onion/garlic (and related alliums). Added hing (asafoetida). Egg-free.,vegetarian-recipes.txt
Dum ka Tinda,Scooped out tindas stuffed with a spicy paneer mixture and cooked in a rich gravy,Indian  Course:,Main,26-30 minutes,31-40 minutes,4,Spicy,Moderate,vegetarian; egg-free; lacto-vegetarian,"9 Apple gourds (tinda) | 1 teaspoon Ginger, chopped | 2 Green chillies, finely chopped | 1 cup Cottage cheese (paneer), grated | 4 bunch Fresh coriander leaves 3- | 4 tablespoons Sunflower oil | 1 pinch hing (asafoetida) | 1 teaspoon Cumin seeds | 1 1/ | 3 medium Tomatoes, chopped | 2 tablespoons Coriander powder 1/ | 2 teaspoon Cumin powder | 1 teaspoon Garam masala powder | 2 teaspoons Dried mango powder (amchur) 3/ | 4 cups Cashewnuts, boiled | 2 inches Ginger, cut into thin strips 2- | 3 Green chillies, cut into thin strips | 1 inch cubes and layers separated | 6 Big green chillies, stems removed and halved 1/ | 4 teaspoon Turmeric powder 1/ | 4 cup Khoya, grated | 1 Lemon to garnish Fresh mint sprig","1. Peel the apple gourds. | 2. Cut off a thin slice from the top and reserve them. | 3. Scoop out the inner pulp with a scooper. | 4. Take ginger, green chillies, cottage cheese, 1 tsp red chilli powder and salt in a bowl. | 5. Blend the scooped portion of apple gourds to a fine paste and add to the cottage cheese mixture. | 6. Chop coriander leaves and add and mix well. | 7. Stuff the apple gourds with this mixture. | 8. Heat a non-stick grill pan, place the stuffed apple gourds on it with the reserved sliced off tops. | 9. Add 2 tbsps sunflower oil and grill, turning sides, till golden on all sides and till grill marks appear. | 10. Heat remaining oil in a non-stick kadai, add cumin seeds and sauté till it changes colour, then add a pinch of hing. | 11. Add and sauté till it turns golden brown. | 12. Add and sauté for a minute. | 13. Add tomatoes and salt. | 14. Cook till tomatoes turn pulpy. | 15. Sprinkle a little salt over the grilled apple gourds. | 16. Add coriander powder, 1 tsp red chilli powder, cumin powder, garam masala powder, 1 tsp dried mango powder in the kadai and sauté for 2-3 minutes. | 17. Add 10-12 cashewnuts and sauté till oil separates. | 18. Switch off heat. | 19. Let the mixture cool down.Transfer the mixture into blender jar and blend to a fine paste. | 20. In same kadai, add ginger strips, green chilli strips, and halved big green chillies and sauté for 1-2 minutes. | 21. Add the apple gourds and cook on medium heat for 4-5 minutes. | 22. Add remaining red chilli powder, turmeric powder and remaining dried mango powder. | 23. Add sufficient water. | 24. Cover and cook on medium heat for 4-5 minutes. | 25. Add sufficient water and add the ground paste. | 26. Add khoya, remaining cashewnuts, remaining ginger strips and juice of ½ lemon. | 27. Cover and cook on medium heat for 4-5 minutes. | 28. Transfer the apple gourds into a serving bowl along with the chillies and gravy. | 29. Serve hot garnished with cashewnuts and mint sprig.",Removed onion/garlic (and related alliums). Added hing (asafoetida). Egg-free.,vegetarian-recipes.txt
